scenario,metric,metric_label,comparison,adjustment,median_r,proportion_significant
S_sens099,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.40039294737009246,0.816
S_strong_beams,FHD,Foliage height diversity (FHD),SSdF–DOF,Bonferroni,0.3979604226561744,0.906
S0_no_qc,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.13026186980245308,0.08
S1_baseline,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.10443324384336733,0.0455
S_agbd_low_uncert,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.10361904043585599,0.042
S_night_only,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.07919010050209338,0.02
S_sens080,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.10753273033814742,0.038
S_sens090,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.10753273033814742,0.038
S_sens095,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.10119578095087156,0.034
S_sens099,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.0805379988638962,0.014
S_strong_beams,FHD,Foliage height diversity (FHD),SSdF–MOF,Bonferroni,0.06717873059057769,0.008
S0_no_qc,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.26457980891767174,0.58
S1_baseline,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.26611181635441605,0.5705
S_agbd_low_uncert,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.25965482100792103,0.526
S_night_only,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.3166110181107286,0.744
S_sens080,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.2752733928368952,0.6
S_sens090,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.2752733928368952,0.6
S_sens095,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.29552493777389605,0.678
S_sens099,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.3589735657117439,0.738
S_strong_beams,H,"Canopy height (H, m)",DOF–MOF,Bonferroni,0.34524129164452066,0.854
S0_no_qc,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.09209372928622123,0.066
S1_baseline,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.1203461123801075,0.079
S_agbd_low_uncert,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.138039971406006,0.12
S_night_only,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.10089465650597777,0.044
S_sens080,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.11366530466220684,0.09
S_sens090,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.11366530466220684,0.09
S_sens095,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.10250423446987035,0.07
S_sens099,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.07810880191590407,0.006
S_strong_beams,H,"Canopy height (H, m)",SDF–DOF,Bonferroni,0.06989482278886053,0.002
S0_no_qc,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.3522843854447822,0.924
S1_baseline,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.3828061108861761,0.951
S_agbd_low_uncert,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.3909103673940496,0.958
S_night_only,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.4126923431199804,0.982
S_sens080,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.38349616017949806,0.96
S_sens090,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.38349616017949806,0.96
S_sens095,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.3894193849760893,0.97
S_sens099,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.39445849903642116,0.856
S_strong_beams,H,"Canopy height (H, m)",SDF–MOF,Bonferroni,0.38190518577427107,0.96
S0_no_qc,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.4849427958174988,0.994
S1_baseline,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.48041868122876474,0.9965
S_agbd_low_uncert,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.468607301101326,0.99
S_night_only,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.4506199574171379,0.994
S_sens080,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.47800814266708036,1
S_sens090,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.47800814266708036,1
S_sens095,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.47669992254471294,1
S_sens099,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.4022793861841244,0.858
S_strong_beams,H,"Canopy height (H, m)",SDF–SSdF,Bonferroni,0.4128187952354358,0.942
S0_no_qc,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.39736751377968094,0.914
S1_baseline,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.3642756029796569,0.884
S_agbd_low_uncert,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.3319940417855035,0.778
S_night_only,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.348169706343203,0.838
S_sens080,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.3751596831980166,0.892
S_sens090,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.3751596831980166,0.892
S_sens095,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.38597430254030896,0.916
S_sens099,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.36369912229254514,0.722
S_strong_beams,H,"Canopy height (H, m)",SSdF–DOF,Bonferroni,0.3653686734877204,0.89
S0_no_qc,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.13079368880723188,0.066
S1_baseline,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.10036847401312013,0.0345
S_agbd_low_uncert,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.0791249186106193,0.016
S_night_only,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.06296708721835602,0.014
S_sens080,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.10092010935710842,0.024
S_sens090,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.10092010935710842,0.024
S_sens095,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.09038017309201352,0.02
S_sens099,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.0685305423151091,0.004
S_strong_beams,H,"Canopy height (H, m)",SSdF–MOF,Bonferroni,0.06494228404583227,0.004
S0_no_qc,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.33353489635055966,0.828
S1_baseline,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.34657061674689765,0.846
S_agbd_low_uncert,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.31663949654508705,0.764
S_night_only,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.3229826732394547,0.788
S_sens080,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.35525052359651144,0.842
S_sens090,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.35525052359651144,0.842
S_sens095,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.3633121048285305,0.858
S_sens099,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.3078485063576717,0.554
S_strong_beams,PAI,"Plant area index (PAI, m^2 m^-2)",DOF–MOF,Bonferroni,0.4075457769731642,0.964
S0_no_qc,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.3620601705265134,0.88
S1_baseline,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.3380315131930446,0.8635
S_agbd_low_uncert,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.35198943044378506,0.83
