variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario,r_base,prop_sig_base,delta_r,delta_prop_sig
cover,FES - FOD,SSdF–DOF,Bonferroni,0.36427759639378143,0.858,S_sens095,0.36000512408941904,0.8545,0.004272472304362396,0.0034999999999999476
cover,FES - FOD,SSdF–DOF,FDR,0.36427759639378143,0.912,S_sens095,0.36000512408941904,0.9135,0.004272472304362396,-0.0014999999999999458
cover,FES - FOM,SSdF–MOF,Bonferroni,0.061998561687067924,0.008,S_sens095,0.06537382049126629,0.01,-0.0033752588041983667,-0.002
cover,FES - FOM,SSdF–MOF,FDR,0.061998561687067924,0.028,S_sens095,0.06537382049126629,0.035,-0.0033752588041983667,-0.007000000000000003
cover,FOD - FOM,DOF–MOF,Bonferroni,0.36324336175386485,0.862,S_sens095,0.34746712205711616,0.853,0.015776239696748684,0.009000000000000008
cover,FOD - FOM,DOF–MOF,FDR,0.36324336175386485,0.912,S_sens095,0.34746712205711616,0.9155,0.015776239696748684,-0.0034999999999999476
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,0.4587215083801688,0.996,S_sens095,0.4651951274883024,0.9925,-0.006473619108133599,0.0034999999999999476
fhd_normal,FED - FES,SDF–SSdF,FDR,0.4587215083801688,0.998,S_sens095,0.4651951274883024,0.9965,-0.006473619108133599,0.0014999999999999458
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,0.08128664472058864,0.038,S_sens095,0.09623569887374943,0.0485,-0.014949054153160793,-0.010500000000000002
fhd_normal,FED - FOD,SDF–DOF,FDR,0.08128664472058864,0.094,S_sens095,0.09623569887374943,0.14,-0.014949054153160793,-0.04600000000000001
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,0.35814688554809915,0.916,S_sens095,0.3624153093992066,0.926,-0.004268423851107428,-0.010000000000000009
fhd_normal,FED - FOM,SDF–MOF,FDR,0.35814688554809915,0.974,S_sens095,0.3624153093992066,0.978,-0.004268423851107428,-0.0040000000000000036
