variavel,comparacao,comparacao_en,ajuste,z,N_ref,r,p_adj,p_unadj,scenario
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,3.643415535025055,94,0.37578961917741904,0.0016142638029344233,2.6904396715573723e-4,S_sens099
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.23499504689413586,150,0.019187265232401256,1,0.8142125775977156,S_sens099
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,-4.31309456567602,164,0.3367961018514638,9.659113101739012e-5,1.6098521836231687e-5,S_sens099
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,3.421049368237776,83,0.3755089522928171,0.0037428004566392456,6.23800076106541e-4,S_sens099
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,-0.04181918473501989,97,0.0042460948849716825,1,0.9666428411835147,S_sens099
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,3.9372391329644745,153,0.31830691801034955,4.945467509708363e-4,8.242445849513938e-5,S_sens099
altura_dossel,FED - FES,SDF–SSdF,FDR,3.643415535025055,94,0.37578961917741904,5.380879343114745e-4,2.6904396715573723e-4,S_sens099
altura_dossel,FED - FOD,SDF–DOF,FDR,0.23499504689413586,150,0.019187265232401256,0.9770550931172587,0.8142125775977156,S_sens099
altura_dossel,FES - FOD,SSdF–DOF,FDR,-4.31309456567602,164,0.3367961018514638,9.659113101739012e-5,1.6098521836231687e-5,S_sens099
altura_dossel,FED - FOM,SDF–MOF,FDR,3.421049368237776,83,0.3755089522928171,9.357001141598114e-4,6.23800076106541e-4,S_sens099
altura_dossel,FES - FOM,SSdF–MOF,FDR,-0.04181918473501989,97,0.0042460948849716825,0.9666428411835147,0.9666428411835147,S_sens099
altura_dossel,FOD - FOM,DOF–MOF,FDR,3.9372391329644745,153,0.31830691801034955,2.4727337548541815e-4,8.242445849513938e-5,S_sens099
agbd,FED - FES,SDF–SSdF,Bonferroni,3.6180077681738454,94,0.3731690081223863,0.0017812769272343215,2.968794878723869e-4,S_sens099
agbd,FED - FOD,SDF–DOF,Bonferroni,0.3250995174270105,150,0.026544264444040774,1,0.7451057541755587,S_sens099
agbd,FES - FOD,SSdF–DOF,Bonferroni,-4.181072020103155,164,0.32648687305335167,1.740827640727133e-4,2.901379401211888e-5,S_sens099
agbd,FED - FOM,SDF–MOF,Bonferroni,3.7425514069261445,83,0.41079838565462273,0.0010929675102701744,1.8216125171169575e-4,S_sens099
agbd,FES - FOM,SSdF–MOF,Bonferroni,0.3296579266791951,97,0.033471691165962054,1,0.7416584477668963,S_sens099
agbd,FOD - FOM,DOF–MOF,Bonferroni,4.237421452012823,153,0.3425752201354319,1.3566088851335077e-4,2.2610148085558463e-5,S_sens099
agbd,FED - FES,SDF–SSdF,FDR,3.6180077681738454,94,0.3731690081223863,4.4531923180858037e-4,2.968794878723869e-4,S_sens099
agbd,FED - FOD,SDF–DOF,FDR,0.3250995174270105,150,0.026544264444040774,0.7451057541755587,0.7451057541755587,S_sens099
agbd,FES - FOD,SSdF–DOF,FDR,-4.181072020103155,164,0.32648687305335167,8.704138203635665e-5,2.901379401211888e-5,S_sens099
agbd,FED - FOM,SDF–MOF,FDR,3.7425514069261445,83,0.41079838565462273,3.643225034233915e-4,1.8216125171169575e-4,S_sens099
agbd,FES - FOM,SSdF–MOF,FDR,0.3296579266791951,97,0.033471691165962054,0.8899901373202755,0.7416584477668963,S_sens099
agbd,FOD - FOM,DOF–MOF,FDR,4.237421452012823,153,0.3425752201354319,1.3566088851335077e-4,2.2610148085558463e-5,S_sens099
pai,FED - FES,SDF–SSdF,Bonferroni,1.798287230466005,94,0.18547916563785208,0.43278901359341515,0.07213150226556919,S_sens099
pai,FED - FOD,SDF–DOF,Bonferroni,-1.7609122978775411,150,0.14377788705305977,0.469519488741543,0.0782532481235905,S_sens099
pai,FES - FOD,SSdF–DOF,Bonferroni,-4.214424462148241,164,0.32909126122452803,1.5024956669247572e-4,2.5041594448745954e-5,S_sens099
pai,FED - FOM,SDF–MOF,Bonferroni,1.2847827360381023,83,0.14102322626875197,1,0.19886821683209419,S_sens099
pai,FES - FOM,SSdF–MOF,Bonferroni,-0.45458456523665924,97,0.046156069504197546,1,0.6494081409749932,S_sens099
pai,FOD - FOM,DOF–MOF,Bonferroni,3.377004579918891,153,0.27301463884706245,0.004396789796277045,7.327982993795075e-4,S_sens099
pai,FED - FES,SDF–SSdF,FDR,1.798287230466005,94,0.18547916563785208,0.14426300453113838,0.07213150226556919,S_sens099
pai,FED - FOD,SDF–DOF,FDR,-1.7609122978775411,150,0.14377788705305977,0.11737987218538574,0.0782532481235905,S_sens099
pai,FES - FOD,SSdF–DOF,FDR,-4.214424462148241,164,0.32909126122452803,1.5024956669247572e-4,2.5041594448745954e-5,S_sens099
pai,FED - FOM,SDF–MOF,FDR,1.2847827360381023,83,0.14102322626875197,0.23864186019851302,0.19886821683209419,S_sens099
pai,FES - FOM,SSdF–MOF,FDR,-0.45458456523665924,97,0.046156069504197546,0.6494081409749932,0.6494081409749932,S_sens099
pai,FOD - FOM,DOF–MOF,FDR,3.377004579918891,153,0.27301463884706245,0.0021983948981385225,7.327982993795075e-4,S_sens099
cover,FED - FES,SDF–SSdF,Bonferroni,1.6185019938277136,94,0.16693573435461223,0.6333267449157998,0.10555445748596662,S_sens099
cover,FED - FOD,SDF–DOF,Bonferroni,-2.082393791649139,150,0.17002674110266455,0.2238390903798254,0.037306515063304235,S_sens099
cover,FES - FOD,SSdF–DOF,Bonferroni,-4.345937330805415,164,0.33936069094200455,8.320929797600544e-5,1.386821632933424e-5,S_sens099
cover,FED - FOM,SDF–MOF,Bonferroni,1.0741528990253677,83,0.11790359807730005,1,0.28275415876829174,S_sens099
cover,FES - FOM,SSdF–MOF,Bonferroni,-0.4974654500072647,97,0.050509963695134635,1,0.6188608611839437,S_sens099
cover,FOD - FOM,DOF–MOF,Bonferroni,3.4497753481230733,153,0.2788978067639876,0.0033663194288426398,5.610532381404399e-4,S_sens099
cover,FED - FES,SDF–SSdF,FDR,1.6185019938277136,94,0.16693573435461223,0.15833168622894994,0.10555445748596662,S_sens099
cover,FED - FOD,SDF–DOF,FDR,-2.082393791649139,150,0.17002674110266455,0.07461303012660847,0.037306515063304235,S_sens099
cover,FES - FOD,SSdF–DOF,FDR,-4.345937330805415,164,0.33936069094200455,8.320929797600544e-5,1.386821632933424e-5,S_sens099
cover,FED - FOM,SDF–MOF,FDR,1.0741528990253677,83,0.11790359807730005,0.33930499052195007,0.28275415876829174,S_sens099
cover,FES - FOM,SSdF–MOF,FDR,-0.4974654500072647,97,0.050509963695134635,0.6188608611839437,0.6188608611839437,S_sens099
cover,FOD - FOM,DOF–MOF,FDR,3.4497753481230733,153,0.2788978067639876,0.0016831597144213199,5.610532381404399e-4,S_sens099
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,3.642918547501521,94,0.3757383588283292,0.0016173849485529258,2.695641580921543e-4,S_sens099
