variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario
agbd,FED - FOM,SDF–MOF,Bonferroni,0.362002566168496,0.936,S_sens095
agbd,FED - FOM,SDF–MOF,FDR,0.362002566168496,0.992,S_sens095
agbd,FES - FOD,SSdF–DOF,Bonferroni,0.443359902708382,0.98,S_sens095
agbd,FES - FOD,SSdF–DOF,FDR,0.443359902708382,0.988,S_sens095
agbd,FES - FOM,SSdF–MOF,Bonferroni,0.06764726568130504,0.01,S_sens095
agbd,FES - FOM,SSdF–MOF,FDR,0.06764726568130504,0.042,S_sens095
agbd,FOD - FOM,DOF–MOF,Bonferroni,0.39134739119719814,0.936,S_sens095
agbd,FOD - FOM,DOF–MOF,FDR,0.39134739119719814,0.976,S_sens095
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,0.47669992254471294,1,S_sens095
altura_dossel,FED - FES,SDF–SSdF,FDR,0.47669992254471294,1,S_sens095
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.10250423446987035,0.07,S_sens095
altura_dossel,FED - FOD,SDF–DOF,FDR,0.10250423446987035,0.152,S_sens095
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,0.3894193849760893,0.97,S_sens095
altura_dossel,FED - FOM,SDF–MOF,FDR,0.3894193849760893,0.994,S_sens095
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,0.38597430254030896,0.916,S_sens095
altura_dossel,FES - FOD,SSdF–DOF,FDR,0.38597430254030896,0.962,S_sens095
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,0.09038017309201352,0.02,S_sens095
altura_dossel,FES - FOM,SSdF–MOF,FDR,0.09038017309201352,0.118,S_sens095
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,0.29552493777389605,0.678,S_sens095
altura_dossel,FOD - FOM,DOF–MOF,FDR,0.29552493777389605,0.822,S_sens095
cover,FED - FES,SDF–SSdF,Bonferroni,0.06592513682936971,0.01,S_sens095
cover,FED - FES,SDF–SSdF,FDR,0.06592513682936971,0.056,S_sens095
cover,FED - FOD,SDF–DOF,Bonferroni,0.30778915298388265,0.748,S_sens095
cover,FED - FOD,SDF–DOF,FDR,0.30778915298388265,0.872,S_sens095
